home,away,possession,possession_start,action,action_player,possession_time,result,poss_avg_height,def_avg_height,home_p1,home_p2,home_p3,home_p4,home_p5,away_p1,away_p2,away_p3,away_p4,away_p5
TOR,NOP,away,ibp,2pt,L.Ball,12,orb,,,,,,,,,,,,
TOR,NOP,away,orb,2pt,D.Favors,1,made,,,,,,,,,,,,
TOR,NOP,home,ibp,2pt,O.Anunoby,,drb,,,,,,,,,,,,
TOR,NOP,away,drb,2pt,j.holiday,,drb,,,,,,,,,,,,
TOR,NOP,home,drb,3pt,k.lowry,,drb,,,,,,,,,,,,
TOR,NOP,away,drb,2pt,D.Favors,,drb,,,,,,,,,,,,
TOR,NOP,home,drb,2pt,Fouled! Not Fouler,,SF,,,,,,,,,,,,
TOR,NOP,home,SF,1pt,k.lowry,,made,,,,,,,,,,,,
TOR,NOP,home,SF,1pt,k.lowry,,orb,,,,,,,,,,,,
TOR,NOP,away,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
TOR,NOP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
